id,name,owner,capacity,fuel,year
324,HKW Barmen,WSW Energie & Wasser AG,82.0,Gas,2005
325,HKW Bohrhügel,Stadtwerke Suhl/Zella-Mehlis GmbH,13.5,Gas,1995
326,HKW Brandenburg,Stadtwerke Brandenburg an der Havel GmbH,36.0,Gas,1997
327,HKW Chemnitz  Nord II (Natural Gas),eins energie in sachsen GmbH & Co. KG,57.2,Gas,1986
328,HKW Dresden-Nossener Brücke,DREWAG Stadtwerke Dresden GmbH,263.0,Gas,1995
329,HKW Eltmann,Palm Power GmbH & Co. KG,57.0,Gas,2008
330,HKW Erfurt-Ost,SWE Energie GmbH,109.1,Gas,
331,HKW Erlangen (Coal),Erlanger Stadtwerke AG,17.4,Coal,1980
332,HKW Erlangen (Natural Gas),Erlanger Stadtwerke AG,28.5,Gas,
333,HKW Fenne  GrubenNatural Gaskraftwerk,STEAG New Energies GmbH,42.0,Gas,2003
334,HKW Freiberg,Universitätsklinikum Freiburg AdöR,27.0,Gas,2001
335,HKW Göttingen,Georg-August-Universität Göttingen Stiftung Ã–ffentlichen Rechts,18.8,Gas,1998
336,HKW Halle Trotha,EVH GmbH,254.0,Gas,
337,HKW Hiltrop,Stadtwerke Bochum Holding GmbH,44.0,Gas,2014
338,HKW Humboldtstr.,Stadtwerke Kiel AG,31.0,Gas,
339,HKW I,Stadtwerke Duisburg AG,95.0,Coal,1985
340,HKW III/B,Stadtwerke Duisburg AG,274.0,Gas,2005
341,HKW Jena,Thüringer Energie AG,182.0,Gas,1996
342,HKW Karcherstr. (Coal),SWK - Stadtwerke Kaiserslautern,13.4,Coal,1996
343,HKW Karcherstr. (Natural Gas),SWK - Stadtwerke Kaiserslautern,11.6,Gas,1989
344,HKW Mannheim,MVV Energie AG,44.7,Waste,
345,HKW Merheim,RheinEnergie AG,15.8,Gas,2001
346,HKW Merkenich,RheinEnergie AG,15.5,Gas,1965
347,HKW Merkenich (Natural Gas),RheinEnergie AG,108.0,Gas,2004
348,HKW Niederrad,Mainova AG,126.0,Gas,2005
349,HKW Niehl 2,RheinEnergie AG,413.0,Gas,2005
350,HKW Nord,Volkswagen AG,61.5,Coal,2000
351,HKW Nord West,Volkswagen AG,200.0,Coal,
352,HKW Pfaffenwald,Universität Stuttgart,36.0,Gas,
353,HKW Potsdam-Süd,Energie und Wasser Potsdam GmbH,81.8,Gas,1996
354,HKW Sachtleben,Sachtleben Chemie GmbH,27.5,Coal,1962
355,HKW Sandreuth,N-ERGIE AG,18.0,Waste,1996
356,HKW Sandreuth,N-ERGIE AG,150.0,Gas,2005
357,HKW Schwarza,Energie- und Medienversorgung Schwarza GmbH,26.5,Gas,
358,HKW Schwerin Lankow,Energieversorgung Schwerin GmbH & Co. Erzeugung KG,23.0,Gas,1994
359,HKW Schwerin Süd,Energieversorgung Schwerin GmbH & Co. Erzeugung KG,44.9,Gas,1994
360,HKW Südstadt,RheinEnergie AG,35.0,Gas,1994
361,HKW West,Volkswagen AG,138.5,Coal,1985
362,HKW West,Mainova AG,123.0,Coal,1989
363,HKW West,Mainova AG,99.0,Gas,1994
364,HKW West ?,Mainova AG,19.7,Other,1954
365,HKW Wiesengrund,ENAG/MainNatural Gas Energieanlagen GmbH,22.1,Gas,1993
366,HKW Wörth,Palm Power GmbH & Co. KG,59.0,Gas,2008
367,HKW-Mitte,Braunschweiger Versorgungs-AG & Co. KG,137.3,Gas,
368,HKW-Nord,Braunschweiger Versorgungs-AG & Co. KG,25.0,Gas,1965
369,HKW-West,Stadtwerke Lemgo GmbH,12.8,Gas,2002
370,HKW3 UPM Schongau,UPM GmbH,65.0,Gas,2015
371,Haag Solar Power Plant,,5.5,Solar,
372,Hafen power station,swb Erzeugung GmbH & Co. KG,427.0,Coal,1973
373,Haidenaab Solar Power Plant,,3.2,Solar,
374,Halberstadt Solar Power Plant,,3.8,Solar,
375,Hamburg-Moorburg,Vattenfall Europe AG,1600.0,Coal,2015
376,Hamburger Rieger,Spreestromerzeugungs GmbH,18.7,Waste,2013
377,Harthausen Solar Power Plant,,4.5,Solar,
378,Hasselbach Solar Power Plant,,1.9,Solar,
379,Hastedt power station,swb Erzeugung GmbH & Co. KG,119.0,Coal,1989
380,Hattorf,K+S AG,52.3,Gas,
381,Ha�loch Solar Power Plant,,3.3,Solar,
382,Heckfeld Solar Power Plant,,1.9,Solar,
383,Heilbronn power station,Energie Baden-Württemberg,778.0,Coal,1977
384,Heimbach,RWE Innogy GmbH,16.0,Hydro,1905
385,Heinersdorf Solar Power Plant,,7.1,Solar,
386,Heizkraftwerk 1,ADM Hamburg Aktiengesellschaft,22.5,Gas,1992
387,Heizkraftwerk 2,Infraserv GmbH & Co. Höchst KG,152.0,Gas,
388,Heizkraftwerk 3,STEAG Power Saar GmbH,211.0,Coal,1989
389,Heizkraftwerk 4,Stadtwerke Augsburg Energie GmbH,18.0,Gas,1976
390,Heizkraftwerk 5,Merck KGaA,10.0,Gas,1999
391,Heizkraftwerk Altbach/Deizisau (Natural Gas),EnBW Energie Baden-Württemberg AG,65.0,Gas,
392,Heizkraftwerk Bomlitz,Dow Wolff Cellulosics GmbH,22.1,Gas,1912
393,Heizkraftwerk Evonik Rheinfelden,Evonik Degussa GmbH,16.0,Gas,1980
394,Heizkraftwerk FFO,Stadtwerke Frankfurt (Oder) GmbH,45.0,Coal,1997
395,Heizkraftwerk Gera-Nord,Energieversorgung Gera GmbH,148.0,Gas,1996
396,Heizkraftwerk Hafen,Stadtwerke Münster GmbH,100.2,Gas,2005
397,Heizkraftwerk Hagen-Kabel,Mark-E AG,230.0,Gas,1980
398,Heizkraftwerk Karlstraße 1,Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH,12.0,Waste,1991
399,Heizkraftwerk Karlstraße 2,Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH,95.0,Gas,2013
400,Heizkraftwerk Krefeld,SWK ENERGIE GmbH,12.6,Gas,
401,Heizkraftwerk Leipzig-Nord,Stadtwerke Leipzig GmbH,167.0,Gas,1996
402,Heizkraftwerk Magirusstraße,Fernwärme Ulm GmbH,20.7,Coal,1978
403,Heizkraftwerk Pforzheim GmbH,Heizkraftwerk Pforzheim GmbH,12.3,Biomass,2004
404,Heizkraftwerk Pforzheim GmbH,Heizkraftwerk Pforzheim GmbH,52.5,Gas,1969
405,Heizkraftwerk Sindelfingen,Daimler AG,95.0,Gas,
406,Heizkraftwerk Stendal,VASA Kraftwerke-Pool GmbH & Co. KG,22.0,Gas,1994
407,Heizkraftwerk Stuttgart-Gaisburg,EnBW Energie Baden-Württemberg AG,22.6,Coal,2009
408,Heizkraftwerk West,Stadtwerke Karlsruhe GmbH,37.0,Gas,1984
409,Heizkraftwerk der Sappi Stockstadt GmbH,Sappi Stockstadt GmbH,24.8,Coal,1969
410,Heizkraftwerk zur Papierfabrik,Delkeskamp Verpackungswerke GmbH,18.1,Gas,1995
411,Heizkraftwerke an der Friedensbrücke,Heizkraftwerk Würzburg GmbH,122.0,Gas,
412,Hemfurth,E.ON Kraftwerke GmbH,40.0,Hydro,1915
413,Hengersberg Solar Power Plant,,1.5,Solar,
414,Heretsried Solar Power Plant,,2.5,Solar,
415,Herforst Solar Power Plant,,1.6,Solar,
416,Herne power station,STEAG GmbH,729.0,Coal,1976
417,Herzberg Solar Power Plant,,16.4,Solar,
418,Hettenleidelheim Solar Power Plant,,1.4,Solar,
419,Heubach Solar Power Plant,,4.8,Solar,
420,Heyden power station,E.On Kraftwerke GmbH,875.0,Coal,1987
421,Himmelstadt Solar Power Plant,,4.3,Solar,
422,Hinzerath Solar Power Plant,,1.4,Solar,
423,Hkw Offenbach power station,Evs Offenbach Ag,54.0,Coal,1988
424,Hohenerxleben Solar Power Plant,,1.3,Solar,
425,Hohenthurm Solar Power Plant,,4.3,Solar,
426,Hohenwarte,Vattenfall Europe Generation AG,377.6,Hydro,1966
427,Holthausen,Henkel AG & Co.KGaA,84.0,Gas,1948
428,Holzg�nz Solar Power Plant,,4.7,Solar,
429,Horgau Solar Power Plant,,5.0,Solar,
430,Huckingen,Hüttenwerke Krupp Mannesmann GmbH,606.0,Gas,
431,Huerth Ville / Berrenrath power station,RWE Power AG,52.0,Coal,1991
432,Humlangen Solar Power Plant,,2.5,Solar,
433,Humtrup Solar Power Plant,,2.9,Solar,
434,Huntorf,E.ON Kraftwerke GmbH,321.0,Gas,1978
435,Hurlach Solar Power Plant,,4.3,Solar,
436,Hutthurm Solar Power Plant,,1.6,Solar,
437,Häusern,Schluchseewerk Aktiengesellschaft,100.0,Hydro,1931
438,Höchstädt,Mittlere Donau Kraftwerke AG,10.0,Hydro,1982
439,H�hein�d Solar Power Plant,,2.1,Solar,
440,H�rlkofen Solar Power Plant,,3.7,Solar,
441,H�ttigweiler Solar Power Plant,,2.3,Solar,
442,IHKW Andernach,IHKW Industrieheizkraftwerk Andernach GmbH,12.5,Waste,2009
443,IHKW Heidenheim,Voith Dienstleistungen und Grundstücks GmbH & Co. KG,26.5,Gas,
444,IKS PCK Schwedt,PCK Raffinerie GmbH,333.5,Oil,
445,IKW,Arcelor Mittal Eisenhüttenstadt GmbH,101.0,Other,2013
446,IKW Rüdersdorf,Vattenfall Europe New Energy Ecopower GmbH,30.0,Waste,2009
447,ILK-EKT,InfraLeuna GmbH,14.0,Other,2000
448,ILK-GuD,InfraLeuna GmbH,135.7,Gas,1994
449,INEOS Kraftwerk,INEOS Solvents Germany GmbH,24.0,Gas,1995
450,ISAR-2,,1485.0,Nuclear,1988
451,Ibbenbüren-B power station,RWE Power AG,794.0,Coal,1985
452,Idenheim Solar Power Plant,,3.9,Solar,
453,Igenhausen Solar Power Plant,,3.7,Solar,
454,Ilbesheim Solar Power Plant,,6.4,Solar,
455,Ilfeld Solar Power Plant,,5.6,Solar,
456,Immenreuth Solar Power Plant,,5.8,Solar,
457,Inden Solar Power Plant,,3.8,Solar,
458,Industrie-Kraftwerk,Solvay Chemicals GmbH,79.0,Coal,1975
459,Industriekraftwerk Bernburg (IKB),Solvay Chemicals GmbH,66.0,Gas,1994
460,Industriekraftwerk Breuberg,Industriekraftwerk Breuberg GmbH / Pirelli Deutschland GmbH,11.4,Gas,1999
461,Industriekraftwerk Greifswald,Industriekraftwerk Greifswald GmbH,37.7,Gas,2014
462,Industriekraftwerk Ludwigshafen,MVV Energie AG,12.0,Gas,2003
463,Industriepark Werk Gendorf,InfraServ GmbH & Co. Gendorf KG,49.0,Gas,2002
464,Ingolstadt,Donau-Wasserkraft AG,19.8,Hydro,1971
465,Itzehoe,E.ON Kraftwerke GmbH,88.0,Oil,1972
466,Janschwalde power station,Vattenfall Europe AG,2790.0,Coal,1985
467,Jesserndorf Solar Power Plant,,1.0,Solar,
468,Jochenstein,Innwerk AG,66.0,Hydro,1955
469,Jocksdorf Solar Power Plant,,103.9,Solar,
470,J�lich Solar Power Plant,,1.5,Solar,
471,K&N PFK AG EV,Kübler & Niethammer Papierfabrik Kriebstein AG,12.75,Gas,1993
472,KW Hafen,swb Entsorgung GmbH & Co. KG,33.0,Waste,2009
473,KW Kirchlengern,Energieservice Westfalen Weser GmbH,201.5,Gas,1980
474,KW Mittelsbüren,swb Erzeugung GmbH & Co. KG,198.0,Oil,
475,KW Rheinfelden,Energiedienst AG,46.7,Hydro,2010
476,KW Voerde,Kraftwerk Voerde beschränkt haftende OHG,1390.0,Coal,
477,KW Walsum,Steag GmbH,1200.0,Coal,
478,KW West,Steag GmbH,640.0,Coal,1971
479,KW Wyhlen,Energiedienst AG,37.9,Hydro,1912
480,KWH,Stadtwerke Hannover AG,102.0,Gas,1975
481,KWK AOS GmbH,Aluminium Oxid Stade GmbH,30.7,Gas,2012
482,KWK Gütersloh,Pfleiderer Gütersloh GmbH,12.1,Biomass,2001
483,KWK Neumarkt,Pfleiderer Neumarkt GmbH,15.6,Biomass,1997
484,KWK-Anlage Barby,Cargill Deutschland GmbH,18.0,Gas,1993
485,KWK-Anlage Krefeld DT,Cargill Deutschland GmbH,25.8,Gas,2004
486,KWK-Anlage Krefeld VM,Cargill Deutschland GmbH,14.0,Gas,2004
487,KWKK Heidelberg,RWE Energiedienstleistungen GmbH,13.5,Gas,2002
488,KWM,Stadtwerke Hannover AG,690.0,Coal,1979
489,Kachlet,Rhein-Main-Donau AG,53.7,Hydro,1927
490,Kaisersesch Solar Power Plant,,9.3,Solar,
491,Kalenberg Solar Power Plant,,3.7,Solar,
492,Kamenz Solar Power Plant,,3.8,Solar,
493,Karnap,RWE Generation SE,38.0,Waste,1987
494,Karwitz Solar Power Plant,,10.1,Solar,
495,Kaufering,E.ON Kraftwerke GmbH,16.7,Hydro,1975
496,Kemnat Solar Power Plant,,1.1,Solar,
497,Kempfeld Solar Power Plant,,2.7,Solar,
498,Kernkraft Gundremmingen,Kernkraftwerk Gundremmingen GmbH (KGG),2572.0,Nuclear,1984
499,Kessel 2,Papierfabrik Schoellershammer Heinrich August Schoeller Söhne GmbH & Co. KG,2.9,Gas,1967
500,Kessel 4,Papierfabrik Schoellershammer  Heinrich August Schoeller Söhne GmbH & Co. KG,9.3,Coal,1983
501,Kesselhaus Zuckerfabrik,Suiker Unie GmbH,15.1,Gas,1993
502,Kiel power station,Gemeinschafts Kraftwerk Kiel,323.0,Coal,1970
503,Kirchmöser,E.ON Kraftwerke GmbH,160.0,Gas,1994
504,Klanxb�ll Solar Power Plant,,6.0,Solar,
505,Klausheide Solar Power Plant,,4.1,Solar,
506,Kleinaitingen Solar Power Plant,,5.0,Solar,
507,Klettbach Solar Power Plant,,1.9,Solar,
508,Klingenberg,Vattenfall Europe Wärme Aktiengesellschaft,164.0,Coal,1981
509,Kläranlage,BASF SE,12.0,Waste,1992
510,Kl�den Solar Power Plant,,6.0,Solar,
511,Knapsack Natural Gas I,Statkraft Markets GmbH,1230.0,Gas,
512,Koblenz,RWE Innogy GmbH,16.0,Hydro,1951
513,Kodersdorf Solar Power Plant,,3.8,Solar,
514,Koepchenwerk,RWE Power AG,153.0,Hydro,1989
515,Kohlekraftwerk,Smurfit Kappa Zülpich Papier GmbH,14.4,Coal,2010
516,Kombi-HKW,Städtische Werke Energie + Wärme GmbH,50.0,Gas,1987
517,Kombikraftwerk,Stora Enso Sachsen GmbH,46.6,Gas,1993
518,Kopswerk I,EnBW Energie Baden-Württemberg AG,247.0,Hydro,1968
519,Kraftwerk,Martinswerk GmbH,10.0,Coal,1995
520,Kraftwerk,Basell Polyolefine GmbH,66.3,Oil,1962
521,Kraftwerk 2,Papierfabrik Adolf Jass Schwarza GmbH,34.2,Gas,
522,Kraftwerk 3,Alzkraftwerke Heider GmbH,18.5,Hydro,1920
523,Kraftwerk Bexbach,STEAG GmbH,721.0,Coal,1983
524,Kraftwerk Ensdorf,Gemeinschaft nach Bruchteilen der Saarstahl AG (SAG) und Saarschmiede GmbH Freiformschmiede (SSF),389.0,Coal,
525,Kraftwerk Fulda,RhönEnergie Fulda GmbH,24.8,Oil,2011
526,Kraftwerk Grenzach-Wyhlen,KGW - Kraftwerk Grenzach-Wyhlen GmbH,40.0,Gas,2004
527,Kraftwerk Hausham,Peissenberger Kraftwerksgesellschaft mbH Kraftwerk Hausham,92.8,Oil,1982
528,Kraftwerk II,Evonik Degussa GmbH,296.2,Coal,1966
529,Kraftwerk III,Evonik Degussa GmbH,139.0,Gas,
530,Kraftwerk L 57,Currenta GmbH & Co. OHG,26.0,Coal,1957
531,Kraftwerk Mainz,Kraftwerke Mainz-Wiesbaden AG,434.2,Gas,2001
532,Kraftwerk Meggle,Molkerei MEGGLE Wasserburg GmbH & Co. KG,12.6,Gas,2000
533,Kraftwerk Mitte,BASF SE,490.0,Gas,2005
534,Kraftwerk N 230,Currenta GmbH & Co. OHG,110.0,Coal,1971
535,Kraftwerk Nord,BASF SE,56.0,Other,1964
536,Kraftwerk Plattling,Daimler AG / UPM GmbH,97.9,Gas,2010
537,Kraftwerk Salzgitter,Salzgitter Flachstahl GmbH,288.5,Other,2010
538,Kraftwerk Schwedt GmbH & Co.KG,Kraftwerk Schwedt GmbH & Co. KG,28.9,Waste,2011
539,Kraftwerk Süd,BASF SE,390.0,Gas,1997
540,Kraftwerk Waldshut,Schluchseewerk Aktiengesellschaft,150.0,Hydro,1951
541,Kraftwerk Walheim,EnBW Energie Baden-Württemberg AG,136.0,Oil,1981
542,Kraftwerk Werdohl-Elverlingsen,Mark-E AG,310.0,Coal,1982
543,Kraftwerksgruppe Pfreimd,GDF SUEZ Energie Deutschland AG,127.0,Hydro,1959
544,Krassow Solar Power Plant,,8.5,Solar,
545,Kremmen Solar Power Plant,,6.7,Solar,
546,Krumbach Solar Power Plant,,5.2,Solar,
547,K�ching Solar Power Plant,,5.6,Solar,
548,K�rlitz Solar Power Plant,,2.0,Solar,
549,K�then Solar Power Plant,,45.0,Solar,
550,Laisa Solar Power Plant,,2.8,Solar,
551,Landau,E.ON Kraftwerke GmbH,12.6,Hydro,1984
552,Landesbergen Biomasse,Statkraft Markets GmbH,20.0,Biomass,2005
553,Langenhahn Solar Power Plant,,5.3,Solar,
554,Langenzenn Solar Power Plant,,2.2,Solar,
555,Laubusch Solar Power Plant,,3.0,Solar,
556,Laufenburg,Energiedienst Holding AG,104.4,Hydro,1914
557,Lauingen - Gehrlicher Solar Power Plant,,25.7,Solar,
558,Lauingen - Juwi Solar Power Plant,,2.8,Solar,
559,Lauta Solar Power Plant,,23.5,Solar,
560,Lefchfeld Nord Solar Park,,24.9,Solar,
561,Lehmen,RWE Innogy GmbH,20.0,Hydro,1962
562,Leideneck Solar Power Plant,,1.0,Solar,
563,Leitzach 1,Stadtwerke München GmbH,136.0,Hydro,
564,Leiwen Solar Power Plant,,3.6,Solar,
565,Lettewitz Solar Power Plant,,13.3,Solar,
566,Lichterfelde,Vattenfall Europe Wärme AG,432.0,Gas,
567,Lieberose Solar Power Plant,,53.0,Solar,
568,Liepolding B�gen Solar Power Plant,,2.5,Solar,
569,Lippendorf power station,Vattenfall Europe Generation AG,875.0,Coal,2000
570,Listerfehrda Solar Power Plant,,2.9,Solar,
571,Litten Solar Power Plant,,38.3,Solar,
572,Lob�bach-Lobenfeld Solar Power Plant,,5.9,Solar,
573,Lochau Solar Power Plant,,3.3,Solar,
574,Luckau Solar Power Plant,,21.0,Solar,
575,Luckenwalde Solar Power Plant,,6.0,Solar,
576,Lutstrut Solar Power Plant,,4.5,Solar,
577,Lünen power station (KSBG),Steag GmbH,473.0,Coal,1967
578,L�nnewitz Solar Power Plant,,25.9,Solar,
579,MHKW,swb Entsorgung GmbH & Co. KG,44.0,Waste,
580,MHKW  WKW,Stadtwerke Rosenheim GmbH & Co. KG,9.0,Waste,1988
581,MHKW Burgkirchen,Zweckverband Abfallverwertung Südostbayern,12.5,Waste,1994
582,MHKW Frankfurt,Mainova AG,72.5,Waste,2006
583,MHKW Mainz,Entsorgungsgesellschaft Mainz mbH,15.6,Waste,2009
584,MHKW Pirmasens,EEW Energy from Waste Saarbrücken GmbH,15.0,Waste,1999
585,MHKW Rothensee,Müllheizkraftwerk Rothensee GmbH,58.4,Waste,2005
586,MKVA Krefeld,EGK Entsorgungsgesellschaft Krefeld GmbH & Co.KG,33.1,Waste,
587,MT  Düren,Metsä Tissue GmbH Werk Düren,14.0,Gas,2011
588,MVA Bielefeld,MVA Bielefeld-Herford GmbH,34.0,Waste,1981
589,MVA Hamm,MHB Hamm Betriebsführungsgesellschaft mbH,14.6,Waste,1985
590,MVA Ingolstadt,Zweckverband Müllverwertungsanlage Ingolstadt (MVA Ingolstadt),25.5,Waste,1984
591,MVA Weisweiler,RWE Power AG,24.0,Waste,1996
592,MVR Müllverwertung Rugenberger Damm GmbH & Co. KG,MVR Müllverwertung Rugenberger Damm GmbH & Co. KG,24.0,Waste,1999
593,Mahlwinkel Solar Power Plant,,18.8,Solar,
594,Markersbach,Vattenfall Europe Generation AG,1045.2,Hydro,1980
595,Markranst�dt Solar Power Plant,,4.1,Solar,
596,Meerwind SüdIOst,WindMW GmbH,288.0,Wind,2014
597,Meitingen,Bayerische Elektrizitätswerke GmbH,11.3,Hydro,1922
598,Meldorf Solar Power Plant,,3.5,Solar,
599,Mengersgereuth-H�mmern Solar Power Plant,,1.4,Solar,
600,Mengkofen Solar Power Plant,,21.7,Solar,
601,Merching,E.ON Kraftwerke GmbH,12.0,Hydro,1978
602,Metzdorf Solar Power Plant,,6.0,Solar,
603,Meuro Solar Power Plant,,166.0,Solar,
604,Me�kirch Solar Power Plant,,1.0,Solar,
605,MiRO,Mineraloelraffinerie Oberrhein GmbH & Co. KG,70.0,Oil,1995
606,Miegersbach Solar Power Plant,,5.2,Solar,
607,Missen Solar Power Plant,,10.1,Solar,
608,Mitte,Vattenfall Europe Wärme AG,444.0,Gas,1996
609,Mittelwasungen Solar Power Plant,,2.1,Solar,
610,Moabit (Oil),Vattenfall Europe Wärme Aktiengesellschaft,51.0,Oil,1971
611,Modellkraftwerk,STEAG Power Saar GmbH,179.0,Coal,1982
612,Moos Solar Power Plant,,15.8,Solar,
613,Mooshof Solar Power Plant,,4.7,Solar,
614,Morbach Solar Power Plant,,1.1,Solar,
615,Muggensturm Solar Power Plant,,1.8,Solar,
616,Mutterstadt Solar Power Plant,,1.6,Solar,
617,Müden,RWE Innogy GmbH,16.4,Hydro,1965
618,Mühltal,E.ON Kraftwerke GmbH,11.2,Hydro,1924
619,Müllheizkraftwerk Kassel,Müllheizkraftwerk Kassel GmbH,14.7,Waste,1985
620,Müllheizkraftwerk Offenbach,Energieversorgung Offenbach AG,10.4,Waste,1972
621,Müllheizkraftwerk Wuppertal,AWG Abfallwirtschaftsgesellschaft mbH Wuppertal,30.0,Waste,1976
622,Müllkraftwerk Schwandorf,Zweckverband Müllverwertung Schwandorf,54.0,Waste,1982
623,Müllverwertung Borsigstraße MVB,MVB Müllverwertung Borsigstraße GmbH,20.0,Biomass,2005
624,M�hlhausen Solar Power Plant,,4.4,Solar,
625,M�nchweiler Solar Power Plant,,1.7,Solar,
626,M�sthinsdorf Solar Power Plant,,5.1,Solar,
627,NECKARWESTHEIM-2,,1400.0,Nuclear,1989
628,Natural Gas Turbine #1,Buchmann GmbH,28.0,Gas,1975
629,Natural Gas Turbine #2,Smurfit Kappa Herzberger Papierfabrik GmbH,19.5,Gas,1978
630,Natural Gas Turbine #3,Sachsenmilch Leppersdorf GmbH,36.0,Gas,2014
631,Natural Gas Turbine #6,Stadtwerke Düsseldorf AG,217.8,Gas,
632,Natural Gas Turbine #7,Prinovis Ltd. & Co. KG,18.6,Gas,
633,Natural Gas Turbine #8,Stadtwerke Augsburg Energie GmbH,28.8,Gas,2004
634,Natural Gas Turbine #9,Basell Polyolefine GmbH,51.9,Gas,1975
635,Natural Gas- u. Dampfturbinenanlage Südraum,ZF Friedrichshafen AG,38.6,Gas,2012
636,Natural Gasblock,Stadtwerke Düsseldorf AG,293.0,Gas,1976
637,Natural Gaskraftwerk #1,Smurfit Kappa Zülpich Papier GmbH,45.3,Gas,1966
638,Natural Gasmotore,Stadtwerke Rosenheim GmbH & Co. KG,23.3,Gas,2011
639,Nauroth Solar Power Plant,,8.5,Solar,
640,Neckarsulm - Audi Solar Power Plant,,1.9,Solar,
